数据日期,DB_TIME,DB_TPS,DB_QPS
2017/7/10,16.09,278.45,13754.99
2017/7/10,0.59,39.22,303
2017/7/10,1.35,37.07,312.85
2017/7/11,13.08,253.26,12751.34
2017/7/11,0.54,36.21,282.19
2017/7/11,1.15,29.82,268.06
2017/7/12,12.46,238,12154.72
2017/7/12,0.52,34.57,269.74
2017/7/12,1.21,27.49,248.19
2017/7/13,11.63,234.23,12143.95
2017/7/13,0.53,34.77,270.7
2017/7/13,1.29,34.22,295.15
2017/7/14,12.25,240.39,12516.9
2017/7/14,0.55,37.15,288.62
2017/7/14,1.28,40.24,323.54
2017/7/15,9.68,204.93,9656.29
2017/7/15,0.47,30.91,252.13
2017/7/15,0.38,14.62,118.78
2017/7/16,9.68,196.93,9131.18
2017/7/16,0.46,29.06,237.68
2017/7/16,0.4,12.15,99.11
2017/7/17,12.05,233.28,12689.82
2017/7/17,0.56,38.62,299.53
2017/7/17,1.33,32.62,288.13
2017/7/18,11.16,226.27,11986.96
2017/7/18,0.55,36.9,287.77
2017/7/18,1.14,30.52,271.11
2017/7/19,11.61,229.23,12057.49
2017/7/19,0.55,37.41,292.06
2017/7/19,1.3,30.42,269.68
2017/7/20,11.63,244.02,12628.1
2017/7/20,0.55,37.94,297.81
2017/7/20,1.38,40.28,356.07
2017/7/21,11.28,243.64,12253.87
2017/7/21,0.53,35.88,279.64
2017/7/21,1.32,32.71,289.29
2017/7/22,9.91,219.95,9870.98
2017/7/22,0.51,29.34,237.85
2017/7/22,0.42,13.63,110.94
2017/7/23,10.09,217.25,9762.61
2017/7/23,0.49,27.18,223.92
2017/7/23,0.38,12.35,100.81
2017/7/24,12.39,258.83,13167.05
2017/7/24,0.6,36.02,279.4
2017/7/24,1.55,32.64,306.12
2017/7/25,11.81,255.15,12782.83
2017/7/25,0.61,36.22,282
2017/7/25,1.51,39.68,332.26
2017/7/26,11.73,253.76,12434.71
2017/7/26,0.58,34.62,270.9
2017/7/26,1.38,29.62,276.79
2017/7/27,11.92,261.78,12448.72
2017/7/27,0.59,34.98,272.02
2017/7/27,1.31,31.04,285.14
2017/7/28,12.5,260.48,12231.72
